asin,product_name,watch_type,brand,material,current_price,original_price,discount,rating,review_count,prime_eligible,delivery_info,bestseller_badge,product_url,category,scraped_at
B0CGX3KN95,LN LENQIN,Wrist Watch,N/A,N/A,9.,9.,,4.2 out of 5 stars,0,No,N/A,Overall Pick,https://www.amazon.com/LN-LENQIN-Military-Waterproof-Wristwatch/dp/B0CGX3KN95/ref=mp_s_a_1_1?dib=eyJ2IjoiMSJ9.fz_4NC2KPB5-JSzw7SBP1B0fh2vkACReEUmsTwGe8qhpmBEvbN6vDmcihMANWIOPO0fBmuXTPEhFwnrL_vPpk0Eukxe9_ieKH8mXUPVm5XHfCvPLRbQkv8vKtcarQNs6sDE-GChSyRRLPOkc_CO8iv1cQfR_3PcHYySYMnyGDCpJ52sX_eoVSH7BkxEsZ9d7y52XX_SvLzaq6I4C3AQEGDj9D2Y3edUl76AzetMlWBjt-ePTMa7FHy-2It6hf5r8_n3ZtKYdOge66B9rU68FcmzPLsTDKxtXtBmOJxK3YTQ.yA8diZRq6c9wn7bSlONYrthSVOTtQlv3XEqGuni44Ac&dib_tag=se&keywords=watches&qid=1763312637&sr=8-1,Watches,2025-11-16 17:03:59
B0053HBJBE,Casio,Wrist Watch,N/A,N/A,21.,21.,,4.6 out of 5 stars,0,No,N/A,N/A,https://www.amazon.com/Casio-F108WH-Illuminator-Collection-Digital/dp/B0053HBJBE/ref=mp_s_a_1_2?dib=eyJ2IjoiMSJ9.fz_4NC2KPB5-JSzw7SBP1B0fh2vkACReEUmsTwGe8qhpmBEvbN6vDmcihMANWIOPO0fBmuXTPEhFwnrL_vPpk0Eukxe9_ieKH8mXUPVm5XHfCvPLRbQkv8vKtcarQNs6sDE-GChSyRRLPOkc_CO8iv1cQfR_3PcHYySYMnyGDCpJ52sX_eoVSH7BkxEsZ9d7y52XX_SvLzaq6I4C3AQEGDj9D2Y3edUl76AzetMlWBjt-ePTMa7FHy-2It6hf5r8_n3ZtKYdOge66B9rU68FcmzPLsTDKxtXtBmOJxK3YTQ.yA8diZRq6c9wn7bSlONYrthSVOTtQlv3XEqGuni44Ac&dib_tag=se&keywords=watches&qid=1763312637&sr=8-2,Watches,2025-11-16 17:03:59
B0FMDNQT8K,MIN BEE,Wrist Watch,N/A,N/A,38.,38.,N/A,3.9 out of 5 stars,0,No,N/A,N/A,https://www.amazon.com/MIN-BEE-Digital-Display-Reader/dp/B0FMDNQT8K/ref=mp_s_a_1_3?dib=eyJ2IjoiMSJ9.fz_4NC2KPB5-JSzw7SBP1B0fh2vkACReEUmsTwGe8qhpmBEvbN6vDmcihMANWIOPO0fBmuXTPEhFwnrL_vPpk0Eukxe9_ieKH8mXUPVm5XHfCvPLRbQkv8vKtcarQNs6sDE-GChSyRRLPOkc_CO8iv1cQfR_3PcHYySYMnyGDCpJ52sX_eoVSH7BkxEsZ9d7y52XX_SvLzaq6I4C3AQEGDj9D2Y3edUl76AzetMlWBjt-ePTMa7FHy-2It6hf5r8_n3ZtKYdOge66B9rU68FcmzPLsTDKxtXtBmOJxK3YTQ.yA8diZRq6c9wn7bSlONYrthSVOTtQlv3XEqGuni44Ac&dib_tag=se&keywords=watches&qid=1763312637&sr=8-3,Watches,2025-11-16 17:03:59
B09RTP5NK7,Timex,Wrist Watch,N/A,N/A,32.,32.,,4.5 out of 5 stars,0,No,N/A,Ends in 14:56:00,https://www.amazon.com/Timex-Unisex-Weekender-38mm-Watch/dp/B09RTP5NK7/ref=mp_s_a_1_4?dib=eyJ2IjoiMSJ9.fz_4NC2KPB5-JSzw7SBP1B0fh2vkACReEUmsTwGe8qhpmBEvbN6vDmcihMANWIOPO0fBmuXTPEhFwnrL_vPpk0Eukxe9_ieKH8mXUPVm5XHfCvPLRbQkv8vKtcarQNs6sDE-GChSyRRLPOkc_CO8iv1cQfR_3PcHYySYMnyGDCpJ52sX_eoVSH7BkxEsZ9d7y52XX_SvLzaq6I4C3AQEGDj9D2Y3edUl76AzetMlWBjt-ePTMa7FHy-2It6hf5r8_n3ZtKYdOge66B9rU68FcmzPLsTDKxtXtBmOJxK3YTQ.yA8diZRq6c9wn7bSlONYrthSVOTtQlv3XEqGuni44Ac&dib_tag=se&keywords=watches&qid=1763312637&sr=8-4,Watches,2025-11-16 17:03:59
B000GAYQJ0,Casio,Wrist Watch,N/A,N/A,25.,25.,,4.6 out of 5 stars,0,No,N/A,N/A,https://www.amazon.com/Casio-A158WA-1-Water-Resistant-Digital/dp/B000GAYQJ0/ref=mp_s_a_1_5?dib=eyJ2IjoiMSJ9.fz_4NC2KPB5-JSzw7SBP1B0fh2vkACReEUmsTwGe8qhpmBEvbN6vDmcihMANWIOPO0fBmuXTPEhFwnrL_vPpk0Eukxe9_ieKH8mXUPVm5XHfCvPLRbQkv8vKtcarQNs6sDE-GChSyRRLPOkc_CO8iv1cQfR_3PcHYySYMnyGDCpJ52sX_eoVSH7BkxEsZ9d7y52XX_SvLzaq6I4C3AQEGDj9D2Y3edUl76AzetMlWBjt-ePTMa7FHy-2It6hf5r8_n3ZtKYdOge66B9rU68FcmzPLsTDKxtXtBmOJxK3YTQ.yA8diZRq6c9wn7bSlONYrthSVOTtQlv3XEqGuni44Ac&dib_tag=se&keywords=watches&qid=1763312637&sr=8-5,Watches,2025-11-16 17:03:59
B0CSVDYW2X,TWOPTION,Wrist Watch,N/A,N/A,9.,9.,N/A,4.3 out of 5 stars,0,No,N/A,N/A,https://www.amazon.com/TWOPTION-Nurse-Waterproof-Silicone-Essentials/dp/B0CSVDYW2X/ref=mp_s_a_1_6?dib=eyJ2IjoiMSJ9.fz_4NC2KPB5-JSzw7SBP1B0fh2vkACReEUmsTwGe8qhpmBEvbN6vDmcihMANWIOPO0fBmuXTPEhFwnrL_vPpk0Eukxe9_ieKH8mXUPVm5XHfCvPLRbQkv8vKtcarQNs6sDE-GChSyRRLPOkc_CO8iv1cQfR_3PcHYySYMnyGDCpJ52sX_eoVSH7BkxEsZ9d7y52XX_SvLzaq6I4C3AQEGDj9D2Y3edUl76AzetMlWBjt-ePTMa7FHy-2It6hf5r8_n3ZtKYdOge66B9rU68FcmzPLsTDKxtXtBmOJxK3YTQ.yA8diZRq6c9wn7bSlONYrthSVOTtQlv3XEqGuni44Ac&dib_tag=se&keywords=watches&qid=1763312637&sr=8-6,Watches,2025-11-16 17:03:59
B0FZ9MK5RQ,Paukila,Wrist Watch,N/A,N/A,19.,19.,N/A,5.0 out of 5 stars,0,No,N/A,N/A,https://www.amazon.com/Paukila-Smart-Watch-Fitness-Tracker/dp/B0FZ9MK5RQ/ref=mp_s_a_1_7?dib=eyJ2IjoiMSJ9.fz_4NC2KPB5-JSzw7SBP1B0fh2vkACReEUmsTwGe8qhpmBEvbN6vDmcihMANWIOPO0fBmuXTPEhFwnrL_vPpk0Eukxe9_ieKH8mXUPVm5XHfCvPLRbQkv8vKtcarQNs6sDE-GChSyRRLPOkc_CO8iv1cQfR_3PcHYySYMnyGDCpJ52sX_eoVSH7BkxEsZ9d7y52XX_SvLzaq6I4C3AQEGDj9D2Y3edUl76AzetMlWBjt-ePTMa7FHy-2It6hf5r8_n3ZtKYdOge66B9rU68FcmzPLsTDKxtXtBmOJxK3YTQ.yA8diZRq6c9wn7bSlONYrthSVOTtQlv3XEqGuni44Ac&dib_tag=se&keywords=watches&qid=1763312637&sr=8-7,Watches,2025-11-16 17:03:59
B0CHJKD9RR,LN LENQIN,Wrist Watch,N/A,N/A,9.,9.,,4.1 out of 5 stars,0,No,N/A,N/A,https://www.amazon.com/LN-LENQIN-Stainless-Waterproof-Luminous/dp/B0CHJKD9RR/ref=mp_s_a_1_8?dib=eyJ2IjoiMSJ9.fz_4NC2KPB5-JSzw7SBP1B0fh2vkACReEUmsTwGe8qhpmBEvbN6vDmcihMANWIOPO0fBmuXTPEhFwnrL_vPpk0Eukxe9_ieKH8mXUPVm5XHfCvPLRbQkv8vKtcarQNs6sDE-GChSyRRLPOkc_CO8iv1cQfR_3PcHYySYMnyGDCpJ52sX_eoVSH7BkxEsZ9d7y52XX_SvLzaq6I4C3AQEGDj9D2Y3edUl76AzetMlWBjt-ePTMa7FHy-2It6hf5r8_n3ZtKYdOge66B9rU68FcmzPLsTDKxtXtBmOJxK3YTQ.yA8diZRq6c9wn7bSlONYrthSVOTtQlv3XEqGuni44Ac&dib_tag=se&keywords=watches&qid=1763312637&sr=8-8,Watches,2025-11-16 17:03:59
B0DSBWB3V1,LN LENQIN,Wrist Watch,N/A,N/A,9.,9.,,4.1 out of 5 stars,0,No,N/A,N/A,https://www.amazon.com/LN-LENQIN-Waterproof-Stainless-Wristwatch/dp/B0DSBWB3V1/ref=mp_s_a_1_9?dib=eyJ2IjoiMSJ9.fz_4NC2KPB5-JSzw7SBP1B0fh2vkACReEUmsTwGe8qhpmBEvbN6vDmcihMANWIOPO0fBmuXTPEhFwnrL_vPpk0Eukxe9_ieKH8mXUPVm5XHfCvPLRbQkv8vKtcarQNs6sDE-GChSyRRLPOkc_CO8iv1cQfR_3PcHYySYMnyGDCpJ52sX_eoVSH7BkxEsZ9d7y52XX_SvLzaq6I4C3AQEGDj9D2Y3edUl76AzetMlWBjt-ePTMa7FHy-2It6hf5r8_n3ZtKYdOge66B9rU68FcmzPLsTDKxtXtBmOJxK3YTQ.yA8diZRq6c9wn7bSlONYrthSVOTtQlv3XEqGuni44Ac&dib_tag=se&keywords=watches&qid=1763312637&sr=8-9,Watches,2025-11-16 17:03:59
B000GAWSDG,Casio,Wrist Watch,N/A,N/A,21.,21.,,4.5 out of 5 stars,0,No,N/A,N/A,https://www.amazon.com/Casio-F91W-1-Classic-Resin-Digital/dp/B000GAWSDG/ref=mp_s_a_1_10?dib=eyJ2IjoiMSJ9.fz_4NC2KPB5-JSzw7SBP1B0fh2vkACReEUmsTwGe8qhpmBEvbN6vDmcihMANWIOPO0fBmuXTPEhFwnrL_vPpk0Eukxe9_ieKH8mXUPVm5XHfCvPLRbQkv8vKtcarQNs6sDE-GChSyRRLPOkc_CO8iv1cQfR_3PcHYySYMnyGDCpJ52sX_eoVSH7BkxEsZ9d7y52XX_SvLzaq6I4C3AQEGDj9D2Y3edUl76AzetMlWBjt-ePTMa7FHy-2It6hf5r8_n3ZtKYdOge66B9rU68FcmzPLsTDKxtXtBmOJxK3YTQ.yA8diZRq6c9wn7bSlONYrthSVOTtQlv3XEqGuni44Ac&dib_tag=se&keywords=watches&qid=1763312637&sr=8-10,Watches,2025-11-16 17:03:59
B001SQLI9C,Fossil,Wrist Watch,N/A,N/A,97.,97.,,4.6 out of 5 stars,0,No,N/A,N/A,https://www.amazon.com/Fossil-Quartz-Stainless-Leather-Casual/dp/B001SQLI9C/ref=mp_s_a_1_11?dib=eyJ2IjoiMSJ9.fz_4NC2KPB5-JSzw7SBP1B0fh2vkACReEUmsTwGe8qhpmBEvbN6vDmcihMANWIOPO0fBmuXTPEhFwnrL_vPpk0Eukxe9_ieKH8mXUPVm5XHfCvPLRbQkv8vKtcarQNs6sDE-GChSyRRLPOkc_CO8iv1cQfR_3PcHYySYMnyGDCpJ52sX_eoVSH7BkxEsZ9d7y52XX_SvLzaq6I4C3AQEGDj9D2Y3edUl76AzetMlWBjt-ePTMa7FHy-2It6hf5r8_n3ZtKYdOge66B9rU68FcmzPLsTDKxtXtBmOJxK3YTQ.yA8diZRq6c9wn7bSlONYrthSVOTtQlv3XEqGuni44Ac&dib_tag=se&keywords=watches&qid=1763312637&sr=8-11,Watches,2025-11-16 17:03:59
